65, 8, 8.99
65, 9, 9.99
65, 10, 10.624
64, 10.625, 11.99
62, 12, 13.99
58, 14, 15.99
60, 16, 18.99
64, 16, 18.99
64, 19, 19.99
60,20,22.61
64,21,22.61
68,22,22.61
60,22.63,23.99
64,22.63,23.99
68,22.63,23.99
60,24,25.99
65,24,25.99
69,24,25.99
67,26,26.61
69,26.625,26.99
67,27,27.61
65,27.625,29.61
58,29.625,31.99
64,32,32.99
64,33,33.99
62,34,34.61
64,34.625,34.99
65,35,35.61
60,35.625,37.99
64,35.625,37.99
67,35.625,37.99
60,38,38.61
64,38,38.61
68,38,38.61
60,38.625,39.99
64,38.625,39.99
68,38.625,39.99
